Table 1 
All Milky Way Dwarf Galaxies and Candidates that Are Considered in This Paper, along with Relevant Positional, Structural, Radial Velocity, and Metallicity Parameters


Galaxy	R.A. (deg)	Decl. (deg)	${(m-M)}_{0}$	r_h (arcmin)	$e=1-b/a$	thetadeg	v_h (km s^-1)	sigma_v (km s^-1)	$\langle [\mathrm{Fe}/{\rm{H}}]\rangle $	
Phoenix2	354.9975	-54.4061	${19.6}_{-0.2}^{+0.2}$	${1.61}_{-0.27}^{+0.27}$	${0.61}_{-0.15}^{+0.15}$	$-{19.0}_{-14.0}^{+14.0}$	${32.4}_{-3.8}^{+3.7}$	${11.0}_{-5.3}^{+9.4}$	cdots	
Pictor1	70.9475	-50.2831	${20.3}_{-0.2}^{+0.2}$	${0.66}_{-0.32}^{+0.32}$	${0.24}_{-0.19}^{+0.19}$	${72.0}_{-10.0}^{+10.0}$	cdots	cdots	cdots	
Pictor2	101.18	-59.8969	${18.3}_{-0.15}^{+0.12}$	${3.8}_{-1.0}^{+1.5}$	${0.13}_{-0.13}^{+0.22}$	${14.0}_{-66.0}^{+60.0}$	cdots	cdots	$-{1.8}_{-0.3}^{+0.3}$	
Pisces2	344.6292	5.9525	${21.31}_{-0.17}^{+0.17}$	${1.22}_{-0.2}^{+0.2}$	${0.4}_{-0.1}^{+0.1}$	${99.0}_{-13.0}^{+13.0}$	$-{226.5}_{-2.7}^{+2.7}$	${5.4}_{-2.4}^{+3.6}$	$-{2.45}_{-0.07}^{+0.07}$	
Reticulum2	53.9254	-54.0492	${17.4}_{-0.2}^{+0.2}$	${5.59}_{-0.21}^{+0.21}$	${0.56}_{-0.03}^{+0.03}$	${69.0}_{-2.0}^{+2.0}$	${64.7}_{-0.8}^{+1.3}$	${3.22}_{-0.49}^{+1.64}$	$-{2.46}_{-0.1}^{+0.09}$	
Reticulum3	56.36	-60.45	${19.81}_{-0.31}^{+0.31}$	${2.4}_{-0.8}^{+0.9}$	cdots	cdots	${274.2}_{-7.4}^{+7.5}$	cdots	cdots	
Sagittarius2	298.1688	-22.0681	${19.32}_{-0.02}^{+0.03}$	${1.7}_{-0.05}^{+0.05}$	${0.06}_{-0.06}^{+0.06}$	${103.0}_{-17.0}^{+28.0}$	$-{177.3}_{-1.2}^{+1.2}$	${2.7}_{-1.0}^{+1.3}$	$-{2.28}_{-0.03}^{+0.03}$	
Sculptor	15.0392	-33.7092	${19.67}_{-0.14}^{+0.14}$	${12.33}_{-0.05}^{+0.05}$	${0.37}_{-0.01}^{+0.01}$	${94.0}_{-1.0}^{+1.0}$	${111.4}_{-0.1}^{+0.1}$	${9.2}_{-1.4}^{+1.4}$	$-{1.68}_{-0.01}^{+0.01}$	
Segue1	151.7667	16.0819	${16.8}_{-0.2}^{+0.2}$	${3.95}_{-0.48}^{+0.48}$	${0.34}_{-0.11}^{+0.11}$	${75.0}_{-16.0}^{+16.0}$	${208.5}_{-0.9}^{+0.9}$	${3.9}_{-0.8}^{+0.8}$	$-{2.72}_{-0.4}^{+0.4}$	
Segue2	34.8167	20.1753	${17.7}_{-0.1}^{+0.1}$	${3.64}_{-0.29}^{+0.29}$	${0.21}_{-0.07}^{+0.07}$	${166.0}_{-15.0}^{+15.0}$	$-{39.2}_{-2.5}^{+2.5}$	${3.4}_{-1.2}^{+2.5}$	$-{2.22}_{-0.13}^{+0.13}$	
Sextans1	153.2625	-1.6147	${19.67}_{-0.1}^{+0.1}$	${27.8}_{-1.2}^{+1.2}$	${0.35}_{-0.05}^{+0.05}$	${56.0}_{-5.0}^{+5.0}$	${224.2}_{-0.1}^{+0.1}$	${7.9}_{-1.3}^{+1.3}$	$-{1.93}_{-0.01}^{+0.01}$	
Triangulum2	33.3225	36.1783	${17.4}_{-0.1}^{+0.1}$	${3.9}_{-0.9}^{+1.1}$	${0.21}_{-0.21}^{+0.17}$	${56.0}_{-24.0}^{+16.0}$	$-{381.7}_{-1.1}^{+1.1}$	cdots	$-{2.24}_{-0.05}^{+0.05}$	
Tucana2	342.9796	-58.5689	${18.8}_{-0.2}^{+0.2}$	${9.83}_{-1.11}^{+1.66}$	${0.39}_{-0.2}^{+0.1}$	${107.0}_{-18.0}^{+18.0}$	$-{129.1}_{-3.5}^{+3.5}$	${8.6}_{-2.7}^{+4.4}$	$-{2.23}_{-0.12}^{+0.18}$	
Tucana3	359.15	-59.6	${17.01}_{-0.16}^{+0.16}$	${6.0}_{-0.6}^{+0.8}$	cdots	cdots	$-{102.3}_{-2.4}^{+2.4}$	${0.1}_{-0.1}^{+0.7}$	$-{2.42}_{-0.08}^{+0.07}$	
Tucana4	0.73	-60.85	${18.41}_{-0.19}^{+0.19}$	${9.3}_{-0.9}^{+1.4}$	${0.39}_{-0.1}^{+0.07}$	${27.0}_{-8.0}^{+9.0}$	${15.9}_{-1.7}^{+1.8}$	${4.3}_{-1.0}^{+1.7}$	$-{2.49}_{-0.16}^{+0.15}$	
Tucana5	354.35	-63.27	${18.71}_{-0.34}^{+0.34}$	${2.1}_{-0.4}^{+0.6}$	${0.51}_{-0.18}^{+0.09}$	${29.0}_{-11.0}^{+11.0}$	$-{36.3}_{-2.2}^{+2.5}$	cdots	$-{2.17}_{-0.23}^{+0.23}$	
UrsaMajor1	158.72	51.92	${19.93}_{-0.1}^{+0.1}$	${8.34}_{-0.34}^{+0.34}$	${0.57}_{-0.03}^{+0.03}$	${67.0}_{-2.0}^{+2.0}$	$-{55.3}_{-1.4}^{+1.4}$	${7.6}_{-1.0}^{+1.0}$	$-{2.18}_{-0.04}^{+0.04}$	
UrsaMajor2	132.875	63.13	${17.5}_{-0.3}^{+0.3}$	${13.95}_{-0.46}^{+0.46}$	${0.56}_{-0.03}^{+0.03}$	$-{77.0}_{-2.0}^{+2.0}$	$-{116.5}_{-1.9}^{+1.9}$	${6.7}_{-1.4}^{+1.4}$	$-{2.47}_{-0.06}^{+0.06}$	
UrsaMinor	227.2854	67.2225	${19.4}_{-0.1}^{+0.1}$	${17.32}_{-0.11}^{+0.11}$	${0.55}_{-0.01}^{+0.01}$	${50.0}_{-1.0}^{+1.0}$	$-{246.9}_{-0.1}^{+0.1}$	${9.5}_{-1.2}^{+1.2}$	$-{2.13}_{-0.01}^{+0.01}$	
Virgo1	180.0379	0.681	${19.8}_{-0.1}^{+0.2}$	${1.76}_{-0.4}^{+0.49}$	${0.59}_{-0.14}^{+0.12}$	${62.0}_{-13.0}^{+8.0}$	cdots	cdots	cdots	
Willman1	162.3375	51.05	${17.9}_{-0.4}^{+0.4}$	${2.53}_{-0.22}^{+0.22}$	${0.47}_{-0.06}^{+0.06}$	${74.0}_{-4.0}^{+4.0}$	$-{12.3}_{-2.5}^{+2.5}$	${4.3}_{-1.3}^{+2.3}$	-2.1	
Note. Objects in italics are those satellites for which we are unable to derive proper motions.
